time,v
0,0.0
5,0.0624174732314944
10,0.1244355546842838
15,0.1857555548621565
20,0.2461194195458712
25,0.3052992351541386
30,0.3630948201916943
35,0.4193325639209708
40,0.4738648856118667
45,0.5265694834266059
50,0.5773481139777517
55,0.6261257954188603
60,0.6728495381887476
65,0.71748638858321
70,0.7600218660795856
75,0.8004581336243244
80,0.8388124141742475
85,0.8751148994332067
90,0.9094068550695458
95,0.9417392213592406
100,0.9721701108121692
105,1.000764743277307
110,1.027591938788415
115,1.052725567466245
120,1.076239961312189
125,1.098213137951806
130,1.118721938683788
135,1.137842932610665
140,1.155651167142325
145,1.172221596781094
150,1.187626619592083
155,1.20193752594277
160,1.21522135827154
165,1.227544062828454
170,1.238966608537231
175,1.249549863324197
180,1.259349526935731
185,1.268418900993145
190,1.276807819542468
195,1.284564343515688
200,1.291733062613697
205,1.298356763689505
210,1.304474182937739
215,1.310122874220227
220,1.315336283719557
225,1.320147762218155
230,1.324586473788443
235,1.328680472391978
240,1.332455650426775
245,1.335936310388282
250,1.339144930042687
255,1.342102192665819
260,1.344827330686063
265,1.3473380415075
270,1.349650840471873
275,1.351781012907429
280,1.353742818702272
285,1.355549479393454
290,1.357213237946716
295,1.358745360233209
300,1.360156235437833
305,1.361455405849401
310,1.3626515773438
315,1.363752702260526
320,1.364766222427577
325,1.365698965283334
330,1.366557350244492
335,1.367347413259043
340,1.368074571107564
345,1.368744007348883
350,1.369360195971309
355,1.369927288442379
360,1.370449096037629
365,1.370928985680848
370,1.3713703665355
375,1.371776322371624
380,1.372149804810708
385,1.372493691210626
390,1.372810288350829
395,1.37310187483572
400,1.373370244447674
