time,v
0,0.0
5,0.0623962608260267
10,0.1242916814461857
15,0.1853142145245471
20,0.2451462727520274
25,0.3035126460798049
30,0.3601775383925831
35,0.4149431892178396
40,0.4676485236390127
45,0.5181680418881253
50,0.5664095952681983
55,0.6123122525174342
60,0.6558435406565939
65,0.6969965939964089
70,0.7357871489690493
75,0.7722505046490448
80,0.8064385217109278
85,0.8384167341356211
90,0.8682616380208942
95,0.8960581880975426
100,0.921897542409784
105,0.9458750606941092
110,0.9680885464609922
115,0.9886367386473104
120,1.007618039691677
125,1.025129463439666
130,1.041265783312395
135,1.056118859959755
140,1.069777127483843
145,1.082325217815405
150,1.093843703717523
155,1.104408943546849
160,1.114093003169145
165,1.122963656653815
170,1.131084456055618
175,1.138514842479595
180,1.145310194297373
185,1.151521917306539
190,1.157197692959231
195,1.162381953881847
200,1.167115530844215
205,1.171436270923047
210,1.175379001408788
215,1.178975886737669
220,1.182256499127968
225,1.185247985058346
230,1.187975321861869
235,1.190461381999478
240,1.192727139187609
245,1.194791819442214
250,1.196672987732728
255,1.198386771830628
260,1.199947846394446
265,1.201369725347856
270,1.202664640301279
275,1.203843894808278
280,1.204917673557251
285,1.205895398763432
290,1.206785567834638
295,1.207595996334752
300,1.208333781811925
305,1.209005396690528
310,1.209616762505204
315,1.210173240922031
320,1.210679766359683
325,1.211140779843567
330,1.211560387721706
335,1.211942269550712
340,1.212289836551097
345,1.212606139308591
350,1.212894004830209
355,1.213155971238219
360,1.213394371438052
365,1.213611320685899
370,1.213808743237403
375,1.213988400321157
380,1.214151880686672
385,1.214300648638551
390,1.214436017206139
395,1.214559201954989
400,1.214671289192714
