time,v
0,0.0
5,0.0623550984664183
10,0.1240122405778126
15,0.184459799822703
20,0.2432717796054682
25,0.3000924661833189
30,0.3546325090065361
35,0.4066662413310389
40,0.4560285133494879
45,0.5026102527051053
50,0.5463534465711655
55,0.5872451809801054
60,0.6253114352147161
65,0.6606107786581059
70,0.6932282418549225
75,0.7232695371897354
80,0.7508557643502054
85,0.7761186943656853
90,0.7991966778537223
95,0.8202311805317193
100,0.8393639198926702
105,0.8567345599106647
110,0.8724789104895977
115,0.8867275720975495
120,0.899604963488683
125,0.9112286717618024
130,0.9217090682602552
135,0.9311491394528372
140,0.9396444878969572
145,0.9472834643142208
150,0.9541474032634264
155,0.9603109669096732
160,0.9658424267426045
165,0.970803944744366
170,0.975252025112062
175,0.9792382281342912
180,0.9828090897488304
185,0.9860067786241922
190,0.9888694332253456
195,0.9914314474679954
200,0.9937239071564812
205,0.9957746708200969
210,0.9976089494137732
215,0.9992492421589096
220,1.000715905142207
225,1.002027068171353
230,1.003199133961298
235,1.004246678143283
240,1.005182903399851
245,1.006019503457768
250,1.006767086221972
255,1.007435020464584
260,1.008031809357686
265,1.008564953829478
270,1.009041259091789
275,1.009466727294476
280,1.009846802677949
285,1.010186284369287
290,1.010489527547108
295,1.010760366418415
300,1.011002282692804
305,1.011218338306237
310,1.011411313823317
315,1.011583654181674
320,1.011737578681071
325,1.011875039373384
330,1.011997807700711
335,1.012107441726023
340,1.01220535561899
345,1.012292792557164
350,1.012370881183003
355,1.012440613283998
360,1.012502889171725
365,1.012558500103999
370,1.012608160952388
375,1.012652490618877
380,1.012692053229575
385,1.012727351053339
390,1.012758836952336
395,1.012786923989264
400,1.012811998812666
