time,v
0,0.0
5,0.0623664122116496
10,0.1240889494818927
15,0.1846938983422234
20,0.2437841011966659
25,0.3010244693621337
30,0.356138365600414
35,0.4089054257814745
40,0.4591590659014799
45,0.5067830620639132
50,0.5517075524405683
55,0.5939042623119012
60,0.6333813849022412
65,0.670178298454729
70,0.7043603389979628
75,0.7360137808729041
80,0.765241146370004
85,0.7921569387873606
90,0.8168838580767153
95,0.8395495230267571
100,0.8602836866126847
105,0.8792159343436381
110,0.8964738196410376
115,0.9121813980486634
120,0.9264581148032176
125,0.9394179972508464
130,0.9511691054976368
135,0.9618131980130395
140,0.9714455729604996
145,0.9801550502683812
150,0.9880240637834682
155,0.9951288609526608
160,1.001539759991877
165,1.007321326827544
170,1.012532602678544
175,1.017227679131445
180,1.02145602173326
185,1.025262558950471
190,1.028688224695056
195,1.031770198407872
200,1.034542243893087
205,1.037034953208583
210,1.039275975937944
215,1.041290379614574
220,1.043100726882779
225,1.044727474738222
230,1.046188992019422
235,1.047501937857549
240,1.048681231595358
245,1.049740425073062
250,1.050691607690087
255,1.051545785541614
260,1.052312739706903
265,1.053001388083034
270,1.053619638530476
275,1.054174704419492
280,1.054672975405869
285,1.055120283237298
290,1.055521786387865
295,1.055882199275544
300,1.056205683045576
305,1.05649604627183
310,1.056756644381321
315,1.05699055058192
320,1.057200470434996
325,1.05738888192139
330,1.057557966232457
335,1.05770972141201
340,1.057845905280832
345,1.057968129130958
350,1.058077809201448
355,1.058176244475872
360,1.058264575956545
365,1.058343850211857
370,1.05841498655038
375,1.058478827674551
380,1.058536104389546
385,1.058587483072483
390,1.058633559778951
395,1.058674872719699
400,1.058711908911117
