time,v
0,0.0
5,0.0623931715758874
10,0.1242706755183355
15,0.1852498312544191
20,0.245004578753153
25,0.3032531343955399
30,0.3597549787261878
35,0.4143093840867434
40,0.4667540260251047
45,0.51696365841306
50,0.5648477548897284
55,0.6103481378910369
60,0.6534360053528752
65,0.6941088600476549
70,0.7323872926190185
75,0.7683117439467625
80,0.8019393269452684
85,0.8333407871918096
90,0.8625976651005385
95,0.8897997009735872
100,0.9150425094316692
105,0.9384255050189628
110,0.9600501326414737
115,0.9800183398462774
120,0.9984313043635412
125,1.015388392837121
130,1.030986328129849
135,1.045318542156751
140,1.058474691411686
145,1.070540313085093
150,1.081596600821276
155,1.09172028068841
160,1.100983569750577
165,1.10945420163927
170,1.117195541966393
175,1.124266684197942
180,1.130722539205424
185,1.136613936503153
190,1.141988047195644
195,1.146888552574924
200,1.151355621400697
205,1.155426352241478
210,1.159134846751407
215,1.162512511914431
220,1.165588173383938
225,1.16838822219163
230,1.170936927344737
235,1.173256399600369
240,1.175366974404838
245,1.177287146331757
250,1.179033894074234
255,1.18062267185874
260,1.182067613835032
265,1.183381624457585
270,1.184576438575688
275,1.185662819502844
280,1.186650492975628
285,1.187548416696751
290,1.188364648498758
295,1.189106626835905
300,1.189781026815665
305,1.190394018184942
310,1.190951127757093
315,1.191457463882203
320,1.191917618369187
325,1.192335799608789
330,1.1927158259671
335,1.193061163437372
340,1.193374982477019
345,1.193660139723675
350,1.193919263257372
355,1.194154709524446
360,1.194368654631357
365,1.194563043328542
370,1.194739676198961
375,1.194900158772734
380,1.195045978647098
385,1.19517846483327
390,1.195298841622269
395,1.195408212431311
400,1.195507582706005
