time,v
0,0.0
5,0.0623545843105985
10,0.1240087562830496
15,0.1844491745017164
20,0.2432485488064131
25,0.3000502545263003
30,0.3545643978375748
35,0.4065651112575154
40,0.4558873530810089
45,0.5024224179513163
50,0.5461128695368868
55,0.5869465232953418
60,0.6249501897310138
65,0.6601833237643717
70,0.6927318544683078
75,0.7227023715704566
80,0.7502168043835541
85,0.7754076867317684
90,0.798414052710206
95,0.8193779653251698
100,0.8384416509120931
105,0.8557451952407822
110,0.8714247471002112
115,0.8856111689535419
120,0.898429071841383
125,0.9099961732133112
130,0.920422920761743
135,0.9298123310754716
140,0.9382599979799708
145,0.9458542314387192
150,0.9526763000239352
155,0.9588007797092836
160,0.9642958375267972
165,0.9692235179103658
170,0.9736402099896176
175,0.9775973440938068
180,0.9811413289457374
185,0.9843142052334184
190,0.9871539837697556
195,0.9896949364252476
200,0.9919680239839456
205,0.9940009927732338
210,0.9958189368268632
215,0.9974442537133414
220,0.99889719365743
225,1.000195796351379
230,1.001356369851562
235,1.002393411526841
240,1.003320039955921
245,1.004147881533711
250,1.00488747037619
255,1.005548117370962
260,1.006138262009141
265,1.006665355584058
270,1.00713614894152
275,1.007556602039671
280,1.007932112820332
285,1.008267444876399
290,1.00856691399048
295,1.008834324549552
300,1.009073124917136
305,1.00928635198508
310,1.009476758313286
315,1.00964676782557
320,1.00979857641376
325,1.009934118583574
330,1.010055146216831
335,1.010163202801711
340,1.010259686161845
345,1.010345827388841
350,1.010422741505836
355,1.010491410270596
360,1.010552722697761
365,1.010607461726573
370,1.010656332249242
375,1.010699946221088
380,1.010738860676106
385,1.010773571832606
390,1.010804527084973
395,1.010832135320213
400,1.010856779518643
