time,v
0,0.0
5,0.0623952310379641
10,0.124284678602267
15,0.1852927479630561
20,0.2450990213088934
25,0.3034260875105221
30,0.3600365625692795
35,0.4147316808110432
40,0.4673499318340012
45,0.5177658813447386
50,0.5658879017891718
55,0.6116559616262159
60,0.6550387953165085
65,0.6960309800157335
70,0.7346498603569391
75,0.7709324432520184
80,0.804932337891561
85,0.836716816985028
90,0.8663640615309833
95,0.8939606347661968
100,0.9195991855177744
105,0.9433764399814232
110,0.9653914302166388
115,0.9857439804875812
120,1.004533434783601
125,1.021857607905002
130,1.037811939636367
135,1.052488830477969
140,1.065977137381337
145,1.078361808507899
150,1.089723637005718
155,1.100139115116056
160,1.109680372804686
165,1.118415178617133
170,1.126407030184457
175,1.133715261911087
180,1.1403951029916
185,1.14649777249413
190,1.152070781039262
195,1.157158320086571
200,1.161800999432839
205,1.166036419119408
210,1.169899164936177
215,1.173421149454263
220,1.176631698861897
225,1.179557699657447
230,1.18222390013571
235,1.184652913072322
240,1.186865498497605
245,1.188880639743344
250,1.190715699454791
255,1.192386583429063
260,1.193907779146485
265,1.19529259970583
270,1.196553104136765
275,1.197700417736391
280,1.198744565862343
285,1.199694820969557
290,1.200559516085249
295,1.20134635522227
300,1.202062281655034
305,1.202713669677883
310,1.203306308483871
315,1.203845468468261
320,1.20433597221061
325,1.204782177036094
330,1.20518809500255
335,1.205557329422415
340,1.205893212197652
345,1.206198725224455
350,1.206476631320304
355,1.206729399441017
360,1.206959316557274
365,1.207168433616575
370,1.207358636081439
375,1.207531631084321
380,1.207688971552474
385,1.207832077289471
390,1.207962228668596
395,1.208080604575968
400,1.208188261943865
